TEAM : Ecuador,,,,,,
,,,,,,
No.,Pos.,Player,Date of birth (age),Caps,Goals,Club
18,4FW,Vincent Janssen,(1994-06-15)15 June 1994 (aged 28),20,7,Antwerp
19,4FW,Wout Weghorst,(1992-08-07)7 August 1992 (aged 30),15,3,Beşiktaş
20,3MF,Teun Koopmeiners,(1998-02-28)28 February 1998 (aged 24),10,1,Atalanta
21,3MF,Frenkie de Jong,(1997-05-12)12 May 1997 (aged 25),45,1,Barcelona
22,2DF,Denzel Dumfries,(1996-04-18)18 April 1996 (aged 26),37,5,Internazionale
23,1GK,Andries Noppert,(1994-04-07)7 April 1994 (aged 28),0,0,Heerenveen
24,3MF,Kenneth Taylor,(2002-05-16)16 May 2002 (aged 20),2,0,Ajax
25,3MF,Xavi Simons,(2003-04-21)21 April 2003 (aged 19),0,0,PSV Eindhoven
26,2DF,Jeremie Frimpong,(2000-12-10)10 December 2000 (aged 21),0,0,Bayer Leverkusen
,,,,,,
TEAM : Qatar,,,,,,
,,,,,,
No.,Pos.,Player,Date of birth (age),Caps,Goals,Club
1,1GK,Saad Al-Sheeb,(1990-02-19)19 February 1990 (aged 32),76,0,Al-Sadd
2,2DF,Ró-Ró,(1990-08-06)6 August 1990 (aged 32),80,1,Al-Sadd
3,3MF,Abdelkarim Hassan,(1993-08-28)28 August 1993 (aged 29),130,15,Al-Sadd
4,2DF,Mohammed Waad,(1999-09-18)18 September 1999 (aged 23),21,0,Al-Sadd
5,2DF,Tarek Salman,(1997-12-05)5 December 1997 (aged 24),58,0,Al-Sadd
6,3MF,Abdulaziz Hatem,(1990-01-01)1 January 1990 (aged 32),107,11,Al-Rayyan
7,4FW,Ahmed Alaaeldin,(1993-01-31)31 January 1993 (aged 29),47,2,Al-Gharafa
8,3MF,Ali Assadalla,(1993-01-19)19 January 1993 (aged 29),59,12,Al-Sadd
9,4FW,Mohammed Muntari,(1993-12-20)20 December 1993 (aged 28),48,13,Al-Duhail
10,3MF,Hassan Al-Haydos*(captain)*,(1990-12-11)11 December 1990 (aged 31),169,36,Al-Sadd
11,4FW,Akram Afif,(1996-11-18)18 November 1996 (aged 26),89,26,Al-Sadd
12,3MF,Karim Boudiaf,(1990-09-16)16 September 1990 (aged 32),115,6,Al-Duhail
13,2DF,Musab Kheder,(1993-01-01)1 January 1993 (aged 29),30,0,Al-Sadd
14,2DF,Homam Ahmed,(1999-08-25)25 August 1999 (aged 23),29,2,Al-Gharafa
15,2DF,Bassam Al-Rawi,(1997-12-16)16 December 1997 (aged 24),58,2,Al-Duhail
16,2DF,Boualem Khoukhi,(1990-07-09)9 July 1990 (aged 32),105,20,Al-Sadd
17,2DF,Ismaeel Mohammad,(1990-04-05)5 April 1990 (aged 32),70,4,Al-Duhail
18,4FW,Khalid Muneer,(1998-02-24)24 February 1998 (aged 24),2,0,Al-Wakrah
19,4FW,Almoez Ali,(1996-08-19)19 August 1996 (aged 26),85,42,Al-Duhail
20,3MF,Salem Al-Hajri,(1996-04-10)10 April 1996 (aged 26),22,0,Al-Sadd
21,1GK,Yousef Hassan,(1996-05-24)24 May 1996 (aged 26),7,0,Al-Gharafa
22,1GK,Meshaal Barsham,(1998-02-14)14 February 1998 (aged 24),20,0,Al-Sadd
23,3MF,Assim Madibo,(1996-10-22)22 October 1996 (aged 26),43,0,Al-Duhail
24,3MF,Naif Al-Hadhrami,(2001-07-18)18 July 2001 (aged 21),1,0,Al-Rayyan
25,3MF,Jassem Gaber,(2002-02-20)20 February 2002 (aged 20),0,0,Al-Arabi
26,3MF,Mostafa Meshaal,(2001-03-28)28 March 2001 (aged 21),1,0,Al-Sadd
,,,,,,
TEAM : Senegal,,,,,,
,,,,,,
No.,Pos.,Player,Date of birth (age),Caps,Goals,Club
1,1GK,Seny Dieng,(1994-11-23)23 November 1994 (aged 27),4,0,Queens Park Rangers
2,2DF,Formose Mendy,(2001-01-02)2 January 2001 (aged 21),2,0,Amiens
3,2DF,Kalidou Koulibaly*(captain)*,(1991-06-20)20 June 1991 (aged 31),64,0,Chelsea
4,2DF,Pape Abou Cissé,(1995-09-14)14 September 1995 (aged 27),13,1,Olympiacos
5,3MF,Idrissa Gueye,(1989-09-26)26 September 1989 (aged 33),96,7,Everton
6,3MF,Nampalys Mendy,(1992-06-23)23 June 1992 (aged 30),19,0,Leicester City
7,4FW,Nicolas Jackson,(2001-06-20)20 June 2001 (aged 21),0,0,Villarreal
8,2DF,Cheikhou Kouyaté,(1989-12-21)21 December 1989 (aged 32),83,4,Nottingham Forest
9,4FW,Boulaye Dia,(1996-11-16)16 November 1996 (aged 26),19,3,Salernitana
10,2DF,Moussa N'Diaye,(2002-06-18)18 June 2002 (aged 20),0,0,Anderlecht
11,3MF,Pathé Ciss,(1994-03-16)16 March 1994 (aged 28),1,0,Rayo Vallecano
12,2DF,Fodé Ballo-Touré,(1997-01-03)3 January 1997 (aged 25),14,0,Milan
13,4FW,Iliman Ndiaye,(2000-03-06)6 March 2000 (aged 22),2,0,Sheffield United
14,2DF,Ismail Jakobs,(1999-08-17)17 August 1999 (aged 23),2,0,Monaco
15,3MF,Krépin Diatta,(1999-02-25)25 February 1999 (aged 23),26,2,Monaco
16,1GK,Édouard Mendy,(1992-03-01)1 March 1992 (aged 30),25,0,Chelsea
17,3MF,Pape Matar Sarr,(2002-09-14)14 September 2002 (aged 20),10,0,Tottenham Hotspur
18,4FW,Ismaïla Sarr,(1998-02-25)25 February 1998 (aged 24),48,10,Watford
19,4FW,Famara Diédhiou,(1992-12-15)15 December 1992 (aged 29),25,10,Alanyaspor
20,4FW,Bamba Dieng,(2000-03-23)23 March 2000 (aged 22),13,1,Marseille
21,2DF,Youssouf Sabaly,(1993-03-05)5 March 1993 (aged 29),24,0,Real Betis
22,2DF,Abdou Diallo,(1996-05-04)4 May 1996 (aged 26),18,2,RB Leipzig
23,1GK,Alfred Gomis,(1993-09-05)5 September 1993 (aged 29),13,0,Rennes
24,2DF,Moustapha Name,(1995-05-05)5 May 1995 (aged 27),6,0,Pafos
25,3MF,Mamadou Loum,(1996-12-30)30 December 1996 (aged 25),3,0,Reading
26,3MF,Pape Gueye,(1999-01-24)24 January 1999 (aged 23),12,0,Marseille
,,,,,,
TEAM : England,,,,,,
,,,,,,
No.,Pos.,Player,Date of birth (age),Caps,Goals,Club
1,1GK,Jordan Pickford,(1994-03-07)7 March 1994 (aged 28),45,0,Everton
2,2DF,Kyle Walker,(1990-05-28)28 May 1990 (aged 32),70,0,Manchester City
3,2DF,Luke Shaw,(1995-07-12)12 July 1995 (aged 27),23,3,Manchester United
4,3MF,Declan Rice,(1999-01-14)14 January 1999 (aged 23),34,2,West Ham United
5,2DF,John Stones,(1994-05-28)28 May 1994 (aged 28),59,3,Manchester City
6,2DF,Harry Maguire,(1993-03-05)5 March 1993 (aged 29),48,7,Manchester United
7,4FW,Jack Grealish,(1995-09-10)10 September 1995 (aged 27),24,1,Manchester City
8,3MF,Jordan Henderson,(1990-06-17)17 June 1990 (aged 32),70,2,Liverpool
9,4FW,Harry Kane*(captain)*,(1993-07-28)28 July 1993 (aged 29),75,51,Tottenham Hotspur
10,4FW,Raheem Sterling,(1994-12-08)8 December 1994 (aged 27),79,19,Chelsea
11,4FW,Marcus Rashford,(1997-10-31)31 October 1997 (aged 25),46,12,Manchester United
12,2DF,Kieran Trippier,(1990-09-19)19 September 1990 (aged 32),37,1,Newcastle United
13,1GK,Nick Pope,(1992-04-19)19 April 1992 (aged 30),10,0,Newcastle United
14,3MF,Kalvin Phillips,(1995-12-02)2 December 1995 (aged 26),23,0,Manchester City
15,2DF,Eric Dier,(1994-01-15)15 January 1994 (aged 28),47,3,Tottenham Hotspur
16,2DF,Conor Coady,(1993-02-25)25 February 1993 (aged 29),10,1,Everton
17,4FW,Bukayo Saka,(2001-09-05)5 September 2001 (aged 21),20,4,Arsenal
18,2DF,Trent Alexander-Arnold,(1998-10-07)7 October 1998 (aged 24),17,1,Liverpool
19,3MF,Mason Mount,(1999-01-10)10 January 1999 (aged 23),32,5,Chelsea
20,3MF,Phil Foden,(2000-05-28)28 May 2000 (aged 22),18,2,Manchester City
21,2DF,Ben White,(1997-10-08)8 October 1997 (aged 25),4,0,Arsenal
22,3MF,Jude Bellingham,(2003-06-29)29 June 2003 (aged 19),17,0,Borussia Dortmund
23,1GK,Aaron Ramsdale,(1998-05-14)14 May 1998 (aged 24),3,0,Arsenal
24,4FW,Callum Wilson,(1992-02-27)27 February 1992 (aged 30),4,1,Newcastle United
25,3MF,James Maddison,(1996-11-23)23 November 1996 (aged 25),1,0,Leicester City
26,3MF,Conor Gallagher,(2000-02-06)6 February 2000 (aged 22),4,0,Chelsea
,,,,,,
TEAM : Iran,,,,,,
,,,,,,
No.,Pos.,Player,Date of birth (age),Caps,Goals,Club
1,1GK,Alireza Beiranvand,(1992-09-21)21 September 1992 (aged 30),52,0,Persepolis
2,2DF,Sadegh Moharrami,(1996-03-01)1 March 1996 (aged 26),21,0,Dinamo Zagreb
3,2DF,Ehsan Hajsafi*(captain)*,(1990-02-25)25 February 1990 (aged 32),121,7,AEK Athens
4,2DF,Shojae Khalilzadeh,(1989-05-14)14 May 1989 (aged 33),25,1,Al-Ahli Doha
5,2DF,Milad Mohammadi,(1993-09-29)29 September 1993 (aged 29),45,1,AEK Athens
6,3MF,Saeid Ezatolahi,(1996-10-01)1 October 1996 (aged 26),47,1,Vejle
7,3MF,Alireza Jahanbakhsh,(1993-08-11)11 August 1993 (aged 29),64,13,Feyenoord
8,2DF,Morteza Pouraliganji,(1992-04-19)19 April 1992 (aged 30),46,3,Persepolis
9,4FW,Mehdi Taremi,(1992-07-18)18 July 1992 (aged 30),60,28,Porto
10,4FW,Karim Ansarifard,(1990-04-03)3 April 1990 (aged 32),94,29,Omonia
11,3MF,Vahid Amiri,(1988-04-02)2 April 1988 (aged 34),68,2,Persepolis
12,1GK,Payam Niazmand,(1995-04-06)6 April 1995 (aged 27),1,0,Sepahan
13,2DF,Hossein Kanaanizadegan,(1994-03-23)23 March 1994 (aged 28),35,2,Al-Ahli Doha
14,3MF,Saman Ghoddos,(1993-09-06)6 September 1993 (aged 29),33,2,Brentford
15,2DF,Rouzbeh Cheshmi,(1993-07-24)24 July 1993 (aged 29),19,1,Esteghlal
16,3MF,Mehdi Torabi,(1994-09-10)10 September 1994 (aged 28),36,7,Persepolis
17,3MF,Ali Gholizadeh,(1996-03-10)10 March 1996 (aged 26),26,6,Charleroi
18,3MF,Ali Karimi,(1994-02-11)11 February 1994 (aged 28),13,0,Kayserispor
19,2DF,Majid Hosseini,(1996-06-20)20 June 1996 (aged 26),18,0,Kayserispor
20,4FW,Sardar Azmoun,(1995-01-01)1 January 1995 (aged 27),65,41,Bayer Leverkusen
21,3MF,Ahmad Nourollahi,(1993-02-01)1 February 1993 (aged 29),25,3,Shabab Al-Ahli
22,1GK,Amir Abedzadeh,(1993-04-26)26 April 1993 (aged 29),11,0,Ponferradina
23,2DF,Ramin Rezaeian,(1990-03-21)21 March 1990 (aged 32),46,2,Sepahan
24,1GK,Hossein Hosseini,(1992-06-30)30 June 1992 (aged 30),6,0,Esteghlal
25,2DF,Abolfazl Jalali,(1998-06-26)26 June 1998 (aged 24),3,0,Esteghlal
,,,,,,
"TEAM :United States
",,,,,,
,,,,,,
No.,Pos.,Player,Date of birth (age),Caps,Goals,Club
1,1GK,Matt Turner,(1994-06-24)24 June 1994 (aged 28),20,0,Arsenal
2,2DF,Sergiño Dest,(2000-11-03)3 November 2000 (aged 22),19,2,Milan
3,2DF,Walker Zimmerman,(1993-05-19)19 May 1993 (aged 29),33,3,Nashville SC
4,3MF,Tyler Adams*(captain)*,(1999-02-14)14 February 1999 (aged 23),32,1,Leeds United
5,2DF,Antonee Robinson,(1997-08-08)8 August 1997 (aged 25),29,2,Fulham
6,3MF,Yunus Musah,(2002-11-29)29 November 2002 (aged 19),19,0,Valencia
7,4FW,Giovanni Reyna,(2002-11-13)13 November 2002 (aged 20),14,4,Borussia Dortmund
8,3MF,Weston McKennie,(1998-08-28)28 August 1998 (aged 24),37,9,Juventus
9,4FW,Jesús Ferreira,(2000-12-24)24 December 2000 (aged 21),15,7,FC Dallas
10,4FW,Christian Pulisic,(1998-09-18)18 September 1998 (aged 24),52,21,Chelsea
11,4FW,Brenden Aaronson,(2000-10-22)22 October 2000 (aged 22),24,6,Leeds United
12,1GK,Ethan Horvath,(1995-06-09)9 June 1995 (aged 27),8,0,Luton Town
13,2DF,Tim Ream,(1987-10-05)5 October 1987 (aged 35),46,1,Fulham
14,3MF,Luca de la Torre,(1998-05-23)23 May 1998 (aged 24),12,0,Celta Vigo
15,2DF,Aaron Long,(1992-10-12)12 October 1992 (aged 30),29,3,New York Red Bulls
16,4FW,Jordan Morris,(1994-10-26)26 October 1994 (aged 28),49,11,Seattle Sounders FC
17,3MF,Cristian Roldan,(1995-06-03)3 June 1995 (aged 27),32,0,Seattle Sounders FC
18,2DF,Shaq Moore,(1996-11-02)2 November 1996 (aged 26),15,1,Nashville SC
19,4FW,Haji Wright,(1998-03-27)27 March 1998 (aged 24),3,1,Antalyaspor
20,2DF,Cameron Carter-Vickers,(1997-12-31)31 December 1997 (aged 24),11,0,Celtic
21,4FW,Timothy Weah,(2000-02-22)22 February 2000 (aged 22),25,3,Lille
22,2DF,DeAndre Yedlin,(1993-07-09)9 July 1993 (aged 29),75,0,Inter Miami CF
23,3MF,Kellyn Acosta,(1995-07-24)24 July 1995 (aged 27),53,2,Los Angeles FC
24,4FW,Josh Sargent,(2000-02-20)20 February 2000 (aged 22),20,5,Norwich City
25,1GK,Sean Johnson,(1989-05-31)31 May 1989 (aged 33),10,0,New York City FC
26,2DF,Joe Scally,(2002-12-31)31 December 2002 (aged 19),3,0,Borussia Mönchengladbach
,,,,,,
TEAM : Wales,,,,,,
,,,,,,
No.,Pos.,Player,Date of birth (age),Caps,Goals,Club
1,1GK,Wayne Hennessey,(1987-01-24)24 January 1987 (aged 35),106,0,Nottingham Forest
2,2DF,Chris Gunter,(1989-07-21)21 July 1989 (aged 33),109,0,AFC Wimbledon
3,2DF,Neco Williams,(2001-04-13)13 April 2001 (aged 21),23,2,Nottingham Forest
4,2DF,Ben Davies,(1993-04-24)24 April 1993 (aged 29),74,1,Tottenham Hotspur
5,2DF,Chris Mepham,(1997-11-05)5 November 1997 (aged 25),33,0,Bournemouth
6,2DF,Joe Rodon,(1997-10-22)22 October 1997 (aged 25),30,0,Rennes
7,3MF,Joe Allen,(1990-03-14)14 March 1990 (aged 32),72,2,Swansea City
8,3MF,Harry Wilson,(1997-03-22)22 March 1997 (aged 25),39,5,Fulham
9,4FW,Brennan Johnson,(2001-05-23)23 May 2001 (aged 21),15,2,Nottingham Forest
10,3MF,Aaron Ramsey,(1990-12-26)26 December 1990 (aged 31),75,20,Nice
11,4FW,Gareth Bale*(captain)*,(1989-07-16)16 July 1989 (aged 33),108,40,Los Angeles FC
12,1GK,Danny Ward,(1993-06-22)22 June 1993 (aged 29),26,0,Leicester City
13,4FW,Kieffer Moore,(1992-08-08)8 August 1992 (aged 30),28,9,Bournemouth
14,2DF,Connor Roberts,(1995-09-23)23 September 1995 (aged 27),41,3,Burnley
15,2DF,Ethan Ampadu,(2000-09-14)14 September 2000 (aged 22),37,0,Spezia
16,3MF,Joe Morrell,(1997-01-03)3 January 1997 (aged 25),30,0,Portsmouth
17,2DF,Tom Lockyer,(1994-12-03)3 December 1994 (aged 27),14,0,Luton Town
18,3MF,Jonny Williams,(1993-10-09)9 October 1993 (aged 29),33,2,Swindon Town
19,4FW,Mark Harris,(1998-12-29)29 December 1998 (aged 23),5,0,Cardiff City
20,4FW,Daniel James,(1997-11-10)10 November 1997 (aged 25),38,5,Fulham
21,1GK,Adam Davies,(1992-07-17)17 July 1992 (aged 30),4,0,Sheffield United
22,3MF,Sorba Thomas,(1999-01-25)25 January 1999 (aged 23),6,0,Huddersfield Town
23,3MF,Dylan Levitt,(2000-11-17)17 November 2000 (aged 22),13,0,Dundee United
24,2DF,Ben Cabango,(2000-05-30)30 May 2000 (aged 22),5,0,Swansea City
25,3MF,Rubin Colwill,(2002-04-27)27 April 2002 (aged 20),7,1,Cardiff City
26,3MF,Matthew Smith,(1999-11-22)22 November 1999 (aged 22),19,0,Milton Keynes Dons
,,,,,,
TEAM : Argentina,,,,,,
,,,,,,
No.,Pos.,Player,Date of birth (age),Caps,Goals,Club
1,1GK,Franco Armani,(1986-10-16)16 October 1986 (aged 36),18,0,River Plate
2,2DF,Juan Foyth,(1998-01-12)12 January 1998 (aged 24),16,0,Villarreal
3,2DF,Nicolás Tagliafico,(1992-08-31)31 August 1992 (aged 30),42,0,Lyon
4,2DF,Gonzalo Montiel,(1997-01-01)1 January 1997 (aged 25),18,0,Sevilla
5,3MF,Leandro Paredes,(1994-06-29)29 June 1994 (aged 28),46,4,Juventus
6,2DF,Germán Pezzella,(1991-06-27)27 June 1991 (aged 31),32,2,Real Betis
7,3MF,Rodrigo De Paul,(1994-05-24)24 May 1994 (aged 28),44,2,Atlético Madrid
8,3MF,Marcos Acuña,(1991-10-28)28 October 1991 (aged 31),43,0,Sevilla
9,4FW,Julián Álvarez,(2000-01-31)31 January 2000 (aged 22),12,3,Manchester City
10,4FW,Lionel Messi*(captain)*,(1987-06-24)24 June 1987 (aged 35),165,91,Paris Saint-Germain
11,4FW,Ángel Di María,(1988-02-14)14 February 1988 (aged 34),124,27,Juventus
12,1GK,Gerónimo Rulli,(1992-05-20)20 May 1992 (aged 30),4,0,Villarreal
13,2DF,Cristian Romero,(1998-04-27)27 April 1998 (aged 24),12,1,Tottenham Hotspur
14,3MF,Exequiel Palacios,(1998-10-05)5 October 1998 (aged 24),20,0,Bayer Leverkusen
15,4FW,Ángel Correa,(1995-03-09)9 March 1995 (aged 27),22,3,Atlético Madrid
16,3MF,Thiago Almada,(2001-04-26)26 April 2001 (aged 21),1,0,Atlanta United FC
17,3MF,Papu Gómez,(1988-02-15)15 February 1988 (aged 34),15,3,Sevilla
18,3MF,Guido Rodríguez,(1994-04-12)12 April 1994 (aged 28),26,1,Real Betis
19,2DF,Nicolás Otamendi,(1988-02-12)12 February 1988 (aged 34),93,4,Benfica
20,3MF,Alexis Mac Allister,(1998-12-24)24 December 1998 (aged 23),8,0,Brighton & Hove Albion
21,4FW,Paulo Dybala,(1993-11-15)15 November 1993 (aged 29),34,3,Roma
22,4FW,Lautaro Martínez,(1997-08-22)22 August 1997 (aged 25),40,21,Internazionale
23,1GK,Emiliano Martínez,(1992-09-02)2 September 1992 (aged 30),19,0,Aston Villa
24,3MF,Enzo Fernández,(2001-01-17)17 January 2001 (aged 21),3,0,Benfica
25,2DF,Lisandro Martínez,(1998-01-18)18 January 1998 (aged 24),10,0,Manchester United
26,2DF,Nahuel Molina,(1998-04-06)6 April 1998 (aged 24),20,0,Atlético Madrid
,,,,,,
TEAM : Mexico,,,,,,
,,,,,,
No.,Pos.,Player,Date of birth (age),Caps,Goals,Club
1,1GK,Alfredo Talavera,(1982-09-18)18 September 1982 (aged 40),40,0,Juárez
2,2DF,Néstor Araujo,(1991-08-29)29 August 1991 (aged 31),63,3,América
3,2DF,César Montes,(1997-02-24)24 February 1997 (aged 25),30,1,Monterrey
4,2DF,Edson Álvarez,(1997-10-24)24 October 1997 (aged 25),58,3,Ajax
5,2DF,Johan Vásquez,(1998-10-22)22 October 1998 (aged 24),7,0,Cremonese
6,2DF,Gerardo Arteaga,(1998-09-07)7 September 1998 (aged 24),17,1,Genk
7,3MF,Luis Romo,(1995-06-05)5 June 1995 (aged 27),27,1,Monterrey
8,3MF,Carlos Rodríguez,(1997-01-03)3 January 1997 (aged 25),36,0,Cruz Azul
9,4FW,Raúl Jiménez,(1991-05-05)5 May 1991 (aged 31),95,29,Wolverhampton Wanderers
10,4FW,Alexis Vega,(1997-11-25)25 November 1997 (aged 24),22,6,Guadalajara
11,4FW,Rogelio Funes Mori,(1991-03-05)5 March 1991 (aged 31),16,6,Monterrey
12,1GK,Rodolfo Cota,(1987-07-03)3 July 1987 (aged 35),8,0,León
13,1GK,Guillermo Ochoa,(1985-07-13)13 July 1985 (aged 37),131,0,América
14,3MF,Érick Gutiérrez,(1995-06-15)15 June 1995 (aged 27),34,1,PSV Eindhoven
15,2DF,Héctor Moreno,(1988-01-17)17 January 1988 (aged 34),128,5,Monterrey
16,3MF,Héctor Herrera,(1990-04-19)19 April 1990 (aged 32),102,10,Houston Dynamo FC
17,4FW,Orbelín Pineda,(1996-03-24)24 March 1996 (aged 26),50,6,AEK Athens
18,3MF,Andrés Guardado*(captain)*,(1986-09-28)28 September 1986 (aged 36),178,28,Real Betis
19,2DF,Jorge Sánchez,(1997-12-10)10 December 1997 (aged 24),26,1,Ajax
20,4FW,Henry Martín,(1992-11-18)18 November 1992 (aged 30),27,6,América
21,4FW,Uriel Antuna,(1997-08-21)21 August 1997 (aged 25),36,9,Cruz Azul
22,4FW,Hirving Lozano,(1995-07-30)30 July 1995 (aged 27),60,16,Napoli
23,2DF,Jesús Gallardo,(1994-08-15)15 August 1994 (aged 28),78,1,Monterrey
24,3MF,Luis Chávez,(1996-01-15)15 January 1996 (aged 26),9,0,Pachuca
25,4FW,Roberto Alvarado,(1998-09-07)7 September 1998 (aged 24),31,4,Guadalajara
26,2DF,Kevin Álvarez,(1999-01-15)15 January 1999 (aged 23),8,0,Pachuca
,,,,,,
TEAM : Poland,,,,,,
,,,,,,
No.,Pos.,Player,Date of birth (age),Caps,Goals,Club
1,1GK,Wojciech Szczęsny,(1990-04-18)18 April 1990 (aged 32),66,0,Juventus
2,2DF,Matty Cash,(1997-08-07)7 August 1997 (aged 25),7,1,Aston Villa
3,2DF,Artur Jędrzejczyk,(1987-11-04)4 November 1987 (aged 35),40,3,Legia Warsaw
4,2DF,Mateusz Wieteska,(1997-02-11)11 February 1997 (aged 25),2,0,Clermont
5,2DF,Jan Bednarek,(1996-04-12)12 April 1996 (aged 26),45,1,Aston Villa
6,3MF,Krystian Bielik,(1998-01-04)4 January 1998 (aged 24),5,0,Birmingham City
7,4FW,Arkadiusz Milik,(1994-02-28)28 February 1994 (aged 28),64,16,Juventus
8,3MF,Damian Szymański,(1995-06-16)16 June 1995 (aged 27),9,1,AEK Athens
9,4FW,Robert Lewandowski*(captain)*,(1988-08-21)21 August 1988 (aged 34),134,76,Barcelona
10,3MF,Grzegorz Krychowiak,(1990-01-29)29 January 1990 (aged 32),94,5,Al-Shabab
11,3MF,Kamil Grosicki,(1988-06-08)8 June 1988 (aged 34),87,17,Pogoń Szczecin
12,1GK,Łukasz Skorupski,(1991-05-05)5 May 1991 (aged 31),8,0,Bologna
13,3MF,Jakub Kamiński,(2002-06-05)5 June 2002 (aged 20),4,1,VfL Wolfsburg
14,2DF,Jakub Kiwior,(2000-02-15)15 February 2000 (aged 22),5,0,Spezia
15,2DF,Kamil Glik,(1988-02-03)3 February 1988 (aged 34),99,6,Benevento
16,4FW,Karol Świderski,(1997-01-23)23 January 1997 (aged 25),18,8,Charlotte FC
17,3MF,Szymon Żurkowski,(1997-09-25)25 September 1997 (aged 25),7,0,Fiorentina
18,2DF,Bartosz Bereszyński,(1992-07-12)12 July 1992 (aged 30),46,0,Sampdoria
19,3MF,Sebastian Szymański,(1999-05-10)10 May 1999 (aged 23),18,1,Feyenoord
20,3MF,Piotr Zieliński,(1994-05-20)20 May 1994 (aged 28),74,9,Napoli
